"fide_id","name","country","sex","title"
4900405,"Majigsuren, Dovdon",MGL,F,WFM
4900413,"Tuvsanaa, Nyamaa",MGL,M,FM
4900421,"Hurmanbai, Shakei",MGL,M,FM
4900588,"Battsetseg, Tuvshintugs",MGL,F,WIM
4900596,"Tumurbaatar, Puntsagdash",MGL,M,CM
4900600,"Ankhchimeg, Bayanmunkh",MGL,F,WIM
4900634,"Erkhembayar, Duurenbayar",MGL,M,FM
4900642,"Byambaa, Zulzaga",MGL,M,FM
4900677,"Bayarmandakh, Balgan",MGL,M,FM
4900758,"Munguntuul, Batkhuyag",MGL,F,IM
4900766,"Gunbayar, Myagmarsuren",MGL,M,FM
4900774,"Nasanjargal, Urtnasan",MGL,M,GM
4900782,"Nomin-Erdene, Davaademberel",MGL,F,IM
4900790,"Otgonjargal, Sengeravdan",MGL,F,WIM
4900839,"Batchimeg, Tuvshintugs",MGL,F,IM
